"A00","Cholera"
"V29.64","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.68","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident While engaged in other specified activities"
"V29.69","Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident During unspecified activity"
"V29.8","Motorcycle rider [any] injured in other specified transport accidents"
"V29.80","Motorcycle rider [any] injured in other specified transport accidents While engaged in sports activity"
"V29.81","Motorcycle rider [any] injured in other specified transport accidents While engaged in leisure activity"
"V29.82","Motorcycle rider [any] injured in other specified transport accidents While working for income"
"V29.83","Motorcycle rider [any] injured in other specified transport accidents While engaged in other types of work"
"V29.84","Motorcycle rider [any] injured in other specified transport accidents While resting, sleeping, eating or engaging in other vital activities"
"V29.88","Motorcycle rider [any] injured in other specified transport accidents While engaged in other specified activities"
"V29.89","Motorcycle rider [any] injured in other specified transport accidents During unspecified activity"
"V29.9","Motorcycle rider [any] injured in unspecified traffic accident"
"V29.90","Motorcycle rider [any] injured in unspecified traffic accident While engaged in sports activity"
"V29.91","Motorcycle rider [any] injured in unspecified traffic accident While engaged in leisure activity"
"V29.92","Motorcycle rider [any] injured in unspecified traffic accident While working for income"
"V29.93","Motorcycle rider [any] injured in unspecified traffic accident While engaged in other types of work"
"V29.94","Motorcycle rider [any] injured in unspecified traffic accident While resting, sleeping, eating or engaging in other vital activities"
"V29.98","Motorcycle rider [any] injured in unspecified traffic accident While engaged in other specified activities"
"V29.99","Motorcycle rider [any] injured in unspecified traffic accident During unspecified activity"
"V30","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal"
"V30.0","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident"
"V30.00","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While engaged in sports activity"
"V30.01","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While engaged in leisure activity"
"V30.02","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While working for income"
"V30.03","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While engaged in other types of work"
"V30.04","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While resting, sleeping, eating or engaging in other vital activities"
"V30.08","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident While engaged in other specified activities"
"V30.09","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident During unspecified activity"
"V30.1","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident"
"V30.10","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident While engaged in sports activity"
"V30.11","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident While engaged in leisure activity"
"V30.12","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident While working for income"
"V30.13","Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident While engaged in other types of work"
